input
band_gap=0.0 spacegroup.number=166
band_gap=0.0 spacegroup.number=70
band_gap=1.5654 spacegroup.number=74
band_gap=0.0 spacegroup.number=139
band_gap=0.1907999999999998 spacegroup.number=156
band_gap=0.5842 spacegroup.number=1
band_gap=0.0 spacegroup.number=221
band_gap=0.0 spacegroup.number=139
band_gap=0.0 spacegroup.number=38
band_gap=5.09 spacegroup.number=225
band_gap=3.325 spacegroup.number=2
band_gap=0.0 spacegroup.number=225
band_gap=0.0 spacegroup.number=194
band_gap=0.0 spacegroup.number=225
band_gap=0.7271000000000001 spacegroup.number=1
band_gap=1.2613 spacegroup.number=9
band_gap=1.1197999999999997 spacegroup.number=216
band_gap=0.0 spacegroup.number=227
band_gap=0.1546 spacegroup.number=15
band_gap=5.5081 spacegroup.number=96
band_gap=0.0 spacegroup.number=38
band_gap=0.0 spacegroup.number=65
band_gap=0.0 spacegroup.number=221
band_gap=0.0 spacegroup.number=139
band_gap=0.0 spacegroup.number=8
band_gap=0.0 spacegroup.number=71
band_gap=1.8058 spacegroup.number=1
band_gap=0.0 spacegroup.number=225
band_gap=0.0 spacegroup.number=182
band_gap=4.962 spacegroup.number=11
band_gap=0.0 spacegroup.number=166
band_gap=0.2366999999999999 spacegroup.number=8
band_gap=7.010800000000001 spacegroup.number=62
band_gap=3.2865 spacegroup.number=186
band_gap=0.0 spacegroup.number=191
band_gap=2.01 spacegroup.number=225
band_gap=0.0 spacegroup.number=123
band_gap=0.0 spacegroup.number=194
band_gap=0.0 spacegroup.number=139
band_gap=0.0 spacegroup.number=6
band_gap=0.0 spacegroup.number=8
band_gap=1.6135000000000002 spacegroup.number=5
band_gap=1.4724000000000004 spacegroup.number=2
band_gap=0.0 spacegroup.number=55
band_gap=0.4114000000000004 spacegroup.number=215
band_gap=0.6493000000000002 spacegroup.number=82
band_gap=0.0 spacegroup.number=225
band_gap=0.1798999999999999 spacegroup.number=55
band_gap=1.6926 spacegroup.number=221
band_gap=0.0 spacegroup.number=191
band_gap=0.0 spacegroup.number=62
band_gap=0.0 spacegroup.number=1
band_gap=0.0 spacegroup.number=225
band_gap=2.5587 spacegroup.number=148
band_gap=0.0 spacegroup.number=123
band_gap=2.0392 spacegroup.number=12
band_gap=0.0175999999999998 spacegroup.number=11
band_gap=0.0 spacegroup.number=31
band_gap=0.0 spacegroup.number=65
band_gap=0.6055000000000001 spacegroup.number=13
band_gap=0.0 spacegroup.number=166
band_gap=0.0 spacegroup.number=63
band_gap=0.0 spacegroup.number=189
band_gap=0.0 spacegroup.number=62
band_gap=0.0 spacegroup.number=63
band_gap=0.0 spacegroup.number=164
band_gap=0.0 spacegroup.number=225
band_gap=0.0 spacegroup.number=194
band_gap=1.6101 spacegroup.number=1
band_gap=4.9495 spacegroup.number=15
band_gap=1.0953 spacegroup.number=43
band_gap=0.2505000000000001 spacegroup.number=225
band_gap=3.2092 spacegroup.number=2
band_gap=0.0 spacegroup.number=12
band_gap=0.0 spacegroup.number=111
band_gap=0.0 spacegroup.number=194
band_gap=0.0 spacegroup.number=225
band_gap=0.0 spacegroup.number=139
band_gap=4.9335 spacegroup.number=132
band_gap=0.0 spacegroup.number=129
band_gap=0.0 spacegroup.number=225
band_gap=3.9389 spacegroup.number=164
band_gap=0.5964999999999999 spacegroup.number=64
band_gap=1.4862000000000002 spacegroup.number=148
band_gap=0.0 spacegroup.number=164
band_gap=0.4706999999999999 spacegroup.number=122
band_gap=0.4493 spacegroup.number=156
band_gap=0.0 spacegroup.number=216
band_gap=0.0 spacegroup.number=166
band_gap=0.0 spacegroup.number=148
band_gap=0.0 spacegroup.number=225
band_gap=0.0 spacegroup.number=87
band_gap=2.64 spacegroup.number=8
band_gap=0.0 spacegroup.number=194
band_gap=4.5412 spacegroup.number=46
band_gap=1.0657 spacegroup.number=82
band_gap=0.0 spacegroup.number=123
band_gap=2.1259 spacegroup.number=62
band_gap=0.0 spacegroup.number=129
band_gap=0.0 spacegroup.number=140
